id,title,repository,workstream,workstream_title,subsystem,suggested_lane,classification,parallelism,prerequisites,write_scope,completion_condition
CE-JBC-B01,"Revalidate live Cellerator, submodule, and Todo cursors",Cellerator,CEBOOT,"Cellerator baseline, charter, and source ownership",program/bootstrap,CE-JBC-L-BOOTSTRAP,validation/evidence,Serial within CE-JBC-L-BOOTSTRAP; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,,[proposed] docs/JBC/;[proposed] planning/jbc/;components/README.md,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-B02,Produce the source-backed Cellerator transition map,Cellerator,CEBOOT,"Cellerator baseline, charter, and source ownership",program/bootstrap,CE-JBC-L-BOOTSTRAP,settled required mechanism,Serial within CE-JBC-L-BOOTSTRAP; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-B01,[proposed] docs/JBC/;[proposed] planning/jbc/;components/README.md,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-B03,Freeze the privileged compiler-component charter,Cellerator,CEBOOT,"Cellerator baseline, charter, and source ownership",program/bootstrap,CE-JBC-L-BOOTSTRAP,settled required mechanism,Serial within CE-JBC-L-BOOTSTRAP; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-B02,[proposed] docs/JBC/;[proposed] planning/jbc/;components/README.md,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-B04,Record standalone and embedded build baselines,Cellerator,CEBOOT,"Cellerator baseline, charter, and source ownership",program/bootstrap,CE-JBC-L-BOOTSTRAP,settled required mechanism,Serial within CE-JBC-L-BOOTSTRAP; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-B03,[proposed] docs/JBC/;[proposed] planning/jbc/;components/README.md,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-B05,Record frozen ABI and compatibility baseline,Cellerator,CEBOOT,"Cellerator baseline, charter, and source ownership",program/bootstrap,CE-JBC-L-BOOTSTRAP,compatibility/migration,Serial within CE-JBC-L-BOOTSTRAP; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-B04,[proposed] docs/JBC/;[proposed] planning/jbc/;components/README.md,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-B06,Reserve Cellerator integration paths and registry ownership,Cellerator,CEBOOT,"Cellerator baseline, charter, and source ownership",program/bootstrap,CE-JBC-L-BOOTSTRAP,settled required mechanism,Serial within CE-JBC-L-BOOTSTRAP; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-B05,[proposed] docs/JBC/;[proposed] planning/jbc/;components/README.md,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I01,Define a namespace-qualified persistent identity bridge,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-B06,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I02,Define exact logical coverage view v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I01,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I03,"Define ownership, proposal, replica, and halo coverage roles",Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I02,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I04,Define atom requirement descriptor v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I03,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I05,Define atom affordance descriptor v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I04,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I06,Define partial-result algebra ABI v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I05,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I07,Define operation decomposition alternative ABI v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,experimental candidate; baseline and negative result required,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I06,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I08,Define atom-fragment request ABI v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I07,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I09,Define atom-fragment candidate and result ABI v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I08,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I10,Define multi-extent external binding ABI v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I09,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I11,Define lowering-resumption ABI v1,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I10,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-I12,Extend generic execution export to atom-aware v2,Cellerator,CEIF,Cellerator-owned joint-compiler thin-waist interfaces,"execution/identity, coverage, decomposition, fragment ABI",CE-JBC-L-INTERFACES,settled required mechanism,Serial within CE-JBC-L-INTERFACES; parallel with other provider/workstream lanes after JBC-G0-LIVE-BASELINE.,CE-JBC-I11,[proposed] include/Cellerator/execution/joint_compiler/;[proposed] include/Cellerator/compute/decomposition/;[proposed] include/Cellerator/profiling/joint_compiler/;[proposed] src/execution/joint_compiler/;[proposed] tests/jbc/interfaces/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D01,Define split-axis and decomposition vocabulary,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-I12,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D02,Implement destination-disjoint relation-apply decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D01,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D03,Implement source/K relation-apply decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D02,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D04,Implement dense-width relation-apply decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D03,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D05,Implement edge/component relation-apply decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D04,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D06,Implement relation-bundle/type decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D05,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D07,Implement transpose decomposition and source partials,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D06,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D08,Implement support-contraction destination/source decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D07,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D09,Implement support-contraction edge/rectangle decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D08,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D10,Implement support-contraction embedding-dimension decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D09,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D11,Implement segment-disjoint decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D10,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D12,Implement split-segment reduction decomposition,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D11,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D13,Implement mergeable log-sum-exp and softmax state,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D12,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D14,Implement mergeable moments state,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D13,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D15,Define gate-dependent input and replication semantics,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,validation/evidence,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D14,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D16,Define sparse-update conflict and ordering algebra,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D15,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D17,Define training and gradient decomposition contracts,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,settled required mechanism,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D16,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-D18,Register and independently validate decomposition providers,Cellerator,CEDEC,Biological operation decomposition and partial algebra,compute/decomposition,CE-JBC-L-DECOMPOSITION,validation/evidence,Serial within CE-JBC-L-DECOMPOSITION; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D17,[proposed] include/Cellerator/compute/decomposition/;[proposed] src/compute/decomposition/;[proposed] tests/jbc/decomposition/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F01,Implement atom-fragment requirements query,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-D18,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F02,Adapt operation_core_v2 problems to fragment compilation,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F01,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F03,Build atom-local hierarchical index spaces,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F02,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F04,Validate externally supplied exact decomposition,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,validation/evidence,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F03,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F05,Validate externally supplied persistent order,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,validation/evidence,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F04,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F06,Extract atom requirements from local candidates,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F05,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F07,Discover atom-bound local candidates,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F06,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F08,Retain a bounded local Pareto frontier,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F07,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F09,Wrap program_v2 as prepared atom fragment,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F08,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F10,Bind external atom planes and lease tokens,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F09,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
CE-JBC-F11,Describe output atom and partial affordances,Cellerator,CEFRAG,Atom-aware Cellerator fragment compiler,execution/atom_fragment,CE-JBC-L-FRAGMENT,settled required mechanism,Serial within CE-JBC-L-FRAGMENT; parallel with other provider/workstream lanes after JBC-G1-ATOM-THIN-WAIST.,CE-JBC-F10,[proposed] include/Cellerator/execution/atom_fragment/;[proposed] src/execution/atom_fragment/;[proposed] tests/jbc/fragment/,"The contract/implementation is source-complete, independently validated, profiler-visible, and consumable through fixtures without central-file edits."
