checkpoint_id,owner_task_id,title,publishes_interfaces
CE-CCP1-CP-A01,CE-CCP1-A01-009,"Live authority, specification, and supersession baseline complete",CE-CCP1-I01-AUTHORITY-BASELINE
CE-CCP1-CP-A02,CE-CCP1-A02-012,JBC implementation inventory and provenance preservation complete,CE-CCP1-I02-JBC-MIGRATION-MANIFEST
CE-CCP1-CP-A03,CE-CCP1-A03-014,Cellerator and CellShard compiler-ownership rehoming design complete,CE-CCP1-I03-COMPILER-OWNERSHIP
CE-CCP1-CP-A04,CE-CCP1-A04-010,Proposed compiler directory and central-file ownership structure complete,CE-CCP1-I04-SOURCE-LAYOUT
CE-CCP1-CP-B01,CE-CCP1-B01-012,Host-only build partition and compiler target graph complete,CE-CCP1-I05-BUILD-GRAPH
CE-CCP1-CP-B02,CE-CCP1-B02-014,Compiler driver and NVCC-like downstream toolchain selection complete,CE-CCP1-I06-DRIVER
CE-CCP1-CP-B03,CE-CCP1-B03-015,"Source manager, preprocessing, file-local pragma, and shadow C++ complete",CE-CCP1-I07-SOURCE-MAP;CE-CCP1-I08-PRAGMA-DIALECT
CE-CCP1-CP-B04,CE-CCP1-B04-014,Upstream Clang semantic bridge and ordinary C++ fallthrough complete,CE-CCP1-I09-CXX-SEMA-BRIDGE
CE-CCP1-CP-C01,CE-CCP1-C01-016,Cellerator lexical grammar and parser complete,CE-CCP1-I10-PARSER
CE-CCP1-CP-C02,CE-CCP1-C02-012,"Cellerator AST, symbols, source mapping, and frontend diagnostics complete",CE-CCP1-I11-AST
CE-CCP1-CP-C03,CE-CCP1-C03-016,"Biological semantic types, relations, and typed operation analysis complete",CE-CCP1-I12-BIOLOGICAL-SEMA
CE-CCP1-CP-C04,CE-CCP1-C04-016,"Execution fields, effects, lifetimes, profiles, and compiler-control hierarchy complete",CE-CCP1-I13-FIELD-SEMANTICS
CE-CCP1-CP-D01,CE-CCP1-D01-014,"Common CEIR object model, textual language, and standalone artifacts complete",CE-CCP1-I14-CEIR-COMMON;CE-CCP1-I15-CEIR-TEXT
CE-CCP1-CP-D02,CE-CCP1-D02-016,Semantic IR complete,CE-CCP1-I16-SEMANTIC-IR
CE-CCP1-CP-D03,CE-CCP1-D03-015,"Representative-data profile artifacts, inference, and multi-state propagation complete",CE-CCP1-I17-PROFILE-ARTIFACT;CE-CCP1-I18-PROFILE-ENVIRONMENT
CE-CCP1-CP-E01,CE-CCP1-E01-016,Planning IR search-space model complete,CE-CCP1-I19-PLANNING-IR
