id,parent_id,kind,title,status,priority,parallel_policy,tags,depends_on_count,checkpoint_count,gate_count,consumes_interface_count,exclusive_paths,read_paths,forbidden_paths,shared_locks,next_action
CE-CCP1-0000,,epic,Cellerator compiler Part One,planned,1000,coordinated,compiler;language;ceir;part-one,0,0,0,0,,.,,,Begin only after manual plan application and explicit run activation; execute A01 authority baseline first.
CE-CCP1-P00,CE-CCP1-0000,epic,Architecture and ownership reconciliation,planned,980,coordinated,phase;p00,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P10,CE-CCP1-0000,epic,Compiler build and driver foundation,planned,960,coordinated,phase;p10,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P20,CE-CCP1-0000,epic,Source language frontend,planned,940,coordinated,phase;p20,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P30,CE-CCP1-0000,epic,Semantic IR and representative profiles,planned,920,coordinated,phase;p30,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P40,CE-CCP1-0000,epic,Planning compiler and JBC rehoming,planned,900,coordinated,phase;p40,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P50,CE-CCP1-0000,epic,Realization IR and native backends,planned,880,coordinated,phase;p50,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P60,CE-CCP1-0000,epic,"Programmable compiler, reflection, and diagnostics",planned,860,coordinated,phase;p60,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P70,CE-CCP1-0000,epic,"Cross-TU compilation, libCellerator, standard library, and SDK",planned,840,coordinated,phase;p70,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P80,CE-CCP1-0000,epic,celleratord,planned,820,coordinated,phase;p80,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-P90,CE-CCP1-0000,epic,"Validation, performance, and final acceptance",planned,800,coordinated,phase;p90,0,0,0,0,,.,,,Dispatch only the workstream lanes whose explicit dependencies are satisfied.
CE-CCP1-A01-000,CE-CCP1-P00,workstream,"Live authority, specification, and supersession baseline",planned,900,serial_lane,workstream;a01;planning-compiler_authority,0,0,0,0,planning/cellerator-compiler-preledger-v1/evidence,.todo-orchestrator;docs/language;planning/jbc-preledger-v1;ce-exop-plan.json;CMakeLists.txt;scope.md,CMakeLists.txt;src/CMakeLists.txt;tools/CMakeLists.txt;tests/CMakeLists.txt;bench/CMakeLists.txt;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;.gitmodules;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;cmake/compiler/CelleratorCompilerTargets.cmake,,Claim A01-001 after milestone prerequisites are reached.
CE-CCP1-A01-001,CE-CCP1-A01-000,task,Capture the reconciled Project Control authority cursor,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,0,0,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/capture_the_reconciled_project_control_authority_cursor.md;tests/compiler/a01/capture_the_reconciled_project_control_authority_cursor_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement capture the reconciled project control authority cursor in the isolated A01 lane, add the focused ce_ccp1_a01_001 gate, and publish a source-linked receipt."
CE-CCP1-A01-002,CE-CCP1-A01-000,task,Capture Cellerator and embedded CellShard Git identities,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,1,0,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/capture_cellerator_and_embedded_cellshard_git_identities.md;tests/compiler/a01/capture_cellerator_and_embedded_cellshard_git_identities_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement capture cellerator and embedded cellshard git identities in the isolated A01 lane, add the focused ce_ccp1_a01_002 gate, and publish a source-linked receipt."
CE-CCP1-A01-003,CE-CCP1-A01-000,task,Hash and index every language and IR authority document,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,1,0,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/hash_and_index_every_language_and_ir_authority_document.md;tests/compiler/a01/hash_and_index_every_language_and_ir_authority_document_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement hash and index every language and ir authority document in the isolated A01 lane, add the focused ce_ccp1_a01_003 gate, and publish a source-linked receipt."
CE-CCP1-A01-004,CE-CCP1-A01-000,validation_task,Audit accepted Todo plan schemas and live precedents,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,1,0,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/audit_accepted_todo_plan_schemas_and_live_precedents.md;tests/compiler/a01/audit_accepted_todo_plan_schemas_and_live_precedents_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement audit accepted todo plan schemas and live precedents in the isolated A01 lane, add the focused ce_ccp1_a01_004 gate, and publish a source-linked receipt."
CE-CCP1-A01-005,CE-CCP1-A01-000,task,Discover and preserve exact Todo CLI help,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,1,0,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/discover_and_preserve_exact_todo_cli_help.md;tests/compiler/a01/discover_and_preserve_exact_todo_cli_help_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement discover and preserve exact todo cli help in the isolated A01 lane, add the focused ce_ccp1_a01_005 gate, and publish a source-linked receipt."
CE-CCP1-A01-006,CE-CCP1-A01-000,task,Publish the Part One compiler charter,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,1,0,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/publish_the_part_one_compiler_charter.md;tests/compiler/a01/publish_the_part_one_compiler_charter_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement publish the part one compiler charter in the isolated A01 lane, add the focused ce_ccp1_a01_006 gate, and publish a source-linked receipt."
CE-CCP1-A01-007,CE-CCP1-A01-000,task,Supersede obsolete JBC compiler ownership,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,1,0,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/supersede_obsolete_jbc_compiler_ownership.md;tests/compiler/a01/supersede_obsolete_jbc_compiler_ownership_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement supersede obsolete jbc compiler ownership in the isolated A01 lane, add the focused ce_ccp1_a01_007 gate, and publish a source-linked receipt."
CE-CCP1-A01-008,CE-CCP1-A01-000,validation_task,Audit program identifier and artifact-name collisions,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,1,0,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/audit_program_identifier_and_artifact_name_collisions.md;tests/compiler/a01/audit_program_identifier_and_artifact_name_collisions_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement audit program identifier and artifact-name collisions in the isolated A01 lane, add the focused ce_ccp1_a01_008 gate, and publish a source-linked receipt."
CE-CCP1-A01-009,CE-CCP1-A01-000,validation_task,Freeze the architecture-reconciliation receipt,planned,850,serial_in_lane,a01;planning-compiler_authority;leaf,1,1,1,0,planning/cellerator-compiler-preledger-v1/evidence;planning/cellerator-compiler-preledger-v1/evidence/freeze_the_architecture_reconciliation_receipt.md;tests/compiler/a01/freeze_the_architecture_reconciliation_receipt_test.cc,.todo-orchestrator;CMakeLists.txt;ce-exop-plan.json;docs/language;planning/jbc-preledger-v1;scope.md,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement freeze the architecture-reconciliation receipt in the isolated A01 lane, add the focused ce_ccp1_a01_009 gate, and publish a source-linked receipt."
CE-CCP1-A02-000,CE-CCP1-P00,workstream,JBC implementation inventory and provenance preservation,planned,899,serial_lane,workstream;a02;planning-jbc_migration,0,0,0,0,planning/cellerator-compiler-preledger-v1/inventories,include/Cellerator/execution/joint_compiler;include/Cellerator/compute/decomposition;include/Cellerator/planner/external_cost;include/Cellerator/profiling/joint_compiler;tests/jbc;components/CellShard;planning/jbc-preledger-v1,CMakeLists.txt;src/CMakeLists.txt;tools/CMakeLists.txt;tests/CMakeLists.txt;bench/CMakeLists.txt;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;.gitmodules;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;cmake/compiler/CelleratorCompilerTargets.cmake,,Claim A02-001 after milestone prerequisites are reached.
CE-CCP1-A02-001,CE-CCP1-A02-000,task,Inventory integrated Cellerator JBC contracts,planned,849,serial_in_lane,a02;planning-jbc_migration;leaf,0,0,1,0,planning/cellerator-compiler-preledger-v1/inventories;planning/cellerator-compiler-preledger-v1/inventories/inventory_integrated_cellerator_jbc_contracts.md;tests/compiler/a02/inventory_integrated_cellerator_jbc_contracts_test.cc,components/CellShard;include/Cellerator/compute/decomposition;include/Cellerator/execution/joint_compiler;include/Cellerator/planner/external_cost;include/Cellerator/profiling/joint_compiler;planning/jbc-preledger-v1;tests/jbc,.gitmodules;CMakeLists.txt;bench/CMakeLists.txt;cmake/compiler/CelleratorCompilerTargets.cmake;cmake/package/CelleratorConfig.cmake.in;cmake/package/CelleratorConfigVersion.cmake.in;include/Cellerator/Cellerator.hh;include/Cellerator/compiler.hh;src/CMakeLists.txt;tests/CMakeLists.txt;tools/CMakeLists.txt,,"Inspect the cited read scope, implement inventory integrated cellerator jbc contracts in the isolated A02 lane, add the focused ce_ccp1_a02_001 gate, and publish a source-linked receipt."
