case_id	availability	evidence_class	control_role	biological_scope	source_path	expected_bytes	rows	columns	nnz	tile_width	occupied_tiles	generator	blocker	note
pbmc3k_support_512	available	real_trace_exact	negative_control	scRNA-seq_cell_gene	bench/architecture_evidence/real_traces/pbmc3k-support-512.json	2466188	512	32738	433808	16	56161	precomputed_trace	-	Structure-only PBMC3K support; expected to reject dense 16x16 tiling.
gse147520_support_256	available	real_trace_exact	candidate	scRNA-seq_cell_gene	bench/architecture_evidence/real_traces/gse147520-support-256.json	2365038	256	26587	423731	16	26230	precomputed_trace	-	Structure-only support from the pinned local H5AD; values and biological provenance are excluded.
gse147520_high_sharing_256	available	real_derived_trace	candidate	scRNA-seq_high_sharing_gene_block	bench/architecture_evidence/real_traces/gse147520-high-sharing-block-256.json	19205	256	26587	2803	16	16	precomputed_trace	-	Derived high-sharing block retained as a positive structural boundary, not a representative whole-dataset claim.
embryo_1_exon_full	available	real_matrix_full	candidate	developmental_embryo_cell_gene	/mnt/block/embryo_scratch/embryo_1/exon/matrix.mtx	244333651	49585	9296	19268538	16	0	matrix_market_full	-	Full structural scan of the live developmental embryo exon matrix.
cardiac_regulatory_modular_proxy	synthetic	controlled_synthetic	candidate	heart_regulator_target_relation	-	0	512	4096	32768	16	0	modular_16x16	-	Controlled heart-relevant structural proxy only; no biological measurement or source provenance is claimed.
uniform_random_negative_proxy	synthetic	controlled_synthetic	negative_control	adversarial_uniform_relation	-	0	512	4096	8192	16	0	uniform_random	-	Controlled no-module falsification case.
heart_regulatory_real_source	checked_unavailable	manifest_check	none	heart_regulator_target_relation	-	0	0	0	0	16	0	none	no checksummed heart regulatory relation is pinned locally	No real heart dataset is measured by this census.
perturbation_response_real_source	checked_unavailable	manifest_check	none	perturbation_cell_gene_response	-	0	0	0	0	16	0	none	no checksummed perturbation source manifest is present	Reserved for a provenance-complete perturbation activation.
matched_multiome_real_source	checked_unavailable	manifest_check	none	paired_cell_RNA_ATAC	-	0	0	0	0	16	0	none	paired source and checksums are not pinned	Mirrors the architecture-evidence activation blocker.
gene_regulatory_graph_real_source	checked_unavailable	manifest_check	none	regulator_target_gene	-	0	0	0	0	16	0	none	release checksum is not pinned	Directed relation evidence and identifier namespace remain required.
developmental_trajectory_labels	checked_unavailable	manifest_check	none	cell_stage_gene_trajectory	-	0	0	0	0	16	0	none	stage and donor provenance are unavailable	The embryo support matrix is available, but trajectory labels and quantitative semantics are not.
