id,kind,title,lane,depends_on,specification
CE-NF1-0000,epic,Cellerator native execution foundation for GlassHelix,CE-NF1-L-COORD,,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-0000.md
CE-NF1-A01,task,Revalidate source and both planning precedents,CE-NF1-L-A,,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-a01.md
CE-NF1-A02,task,Resolve first-class dispatch and host evidence services,CE-NF1-L-A,CE-NF1-A01,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-a02.md
CE-NF1-A03,task,Inventory native consumer reachability and numerical gaps,CE-NF1-L-A,CE-NF1-A02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-a03.md
CE-NF1-A04,task,Adopt constructive extension and regression boundary,CE-NF1-L-A,CE-NF1-A03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-a04.md
CE-NF1-C01,task,Define multi-operand operation and effect contract,CE-NF1-L-C,CE-NF1-M00,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-c01.md
CE-NF1-C02,task,Define immutable preparation and independent bindings,CE-NF1-L-C,CE-NF1-C01,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-c02.md
CE-NF1-C03,task,Define derivative and differential provenance contract,CE-NF1-L-C,CE-NF1-C02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-c03.md
CE-NF1-C04,task,"Define support activity, epochs and accuracy contract",CE-NF1-L-C,CE-NF1-C03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-c04.md
CE-NF1-C05,task,Define custom compiled block contract,CE-NF1-L-C,CE-NF1-C04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-c05.md
CE-NF1-C06,task,Freeze developmental native capability seam,CE-NF1-L-C,CE-NF1-C05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-c06.md
CE-NF1-B01,task,Partition host semantic and CUDA target dependencies,CE-NF1-L-B,CE-NF1-M10,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-b01.md
CE-NF1-B02,task,Expose existing reusable operation targets,CE-NF1-L-B,CE-NF1-B01,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-b02.md
CE-NF1-B03,task,Make toolchain and architecture selection explicit,CE-NF1-L-B,CE-NF1-B02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-b03.md
CE-NF1-B04,task,Gate optional suites and provide CPU correctness target,CE-NF1-L-B,CE-NF1-B03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-b04.md
CE-NF1-B05,task,Add relocatable build-tree consumer proof,CE-NF1-L-B,CE-NF1-B04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-b05.md
CE-NF1-B06,task,Qualify build matrix and publish target receipt,CE-NF1-L-B,CE-NF1-B05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-b06.md
CE-NF1-P01,task,Generalize stage bindings without a second runner,CE-NF1-L-P,CE-NF1-M10,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-p01.md
CE-NF1-P02,task,Preflight all dynamic launch bindings,CE-NF1-L-P,CE-NF1-P01,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-p02.md
CE-NF1-P03,task,Bind sessions and independently reusable instances,CE-NF1-L-P,CE-NF1-P02;CE-NF1-V03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-p03.md
CE-NF1-P04,task,Plan scratch lifetimes and bounded state buffers,CE-NF1-L-P,CE-NF1-P03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-p04.md
CE-NF1-P05,task,Implement failure and poison semantics,CE-NF1-L-P,CE-NF1-P04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-p05.md
CE-NF1-P06,task,Map stage provenance and counters,CE-NF1-L-P,CE-NF1-P05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-p06.md
CE-NF1-P07,task,Qualify linked composed-program boundary,CE-NF1-L-P,CE-NF1-P06;CE-NF1-B05;CE-NF1-N05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-p07.md
CE-NF1-V01,task,Extract reusable structural preparation ownership,CE-NF1-L-V,CE-NF1-M10,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-v01.md
CE-NF1-V02,task,Bind value and gradient instances through current planes,CE-NF1-L-V,CE-NF1-V01,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-v02.md
CE-NF1-V03,task,Preserve asynchronous publication and read completion,CE-NF1-L-V,CE-NF1-V02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-v03.md
CE-NF1-V04,task,Support f32 authoritative values alongside f16 projections,CE-NF1-L-V,CE-NF1-V03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-v04.md
CE-NF1-V05,task,Make epoch replacement and stale-ticket rejection explicit,CE-NF1-L-V,CE-NF1-V04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-v05.md
CE-NF1-V06,task,Qualify value provenance under update and branching,CE-NF1-L-V,CE-NF1-V05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-v06.md
CE-NF1-V07,task,Publish executable shared-value capability,CE-NF1-L-V,CE-NF1-V06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-v07.md
CE-NF1-N01,task,Provide independent host f64 and executable f32 references,CE-NF1-L-N,CE-NF1-M10,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-n01.md
CE-NF1-N02,task,Generalize relation application across widths and tails,CE-NF1-L-N,CE-NF1-N01;CE-NF1-V07,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-n02.md
CE-NF1-N03,task,Generalize transpose and explicit destination effects,CE-NF1-L-N,CE-NF1-N02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-n03.md
CE-NF1-N04,task,Provide batched local arithmetic and gather/scatter,CE-NF1-L-N,CE-NF1-N03,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-n04.md
CE-NF1-N05,task,Generalize needed reductions and numeric diagnostics,CE-NF1-L-N,CE-NF1-N04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-n05.md
CE-NF1-N06,task,Publish general-width execution capability,CE-NF1-L-N,CE-NF1-N05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-n06.md
CE-NF1-H01,task,Define argument incidence and output ownership,CE-NF1-L-H,CE-NF1-M10,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-h01.md
CE-NF1-H02,task,Implement grouped native evaluator registration,CE-NF1-L-H,CE-NF1-H01,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-h02.md
CE-NF1-H03,task,Implement independent CPU n-ary evaluation,CE-NF1-L-H,CE-NF1-H02,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-h03.md
CE-NF1-H04,task,Execute n-ary groups on CUDA,CE-NF1-L-H,CE-NF1-H03;CE-NF1-N06;CE-NF1-P07,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-h04.md
CE-NF1-H05,task,Add exact inspectable compositions and custom block parity,CE-NF1-L-H,CE-NF1-H04,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-h05.md
CE-NF1-H06,task,Qualify deterministic assembly and nonfinite behavior,CE-NF1-L-H,CE-NF1-H05,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-h06.md
CE-NF1-H07,task,Publish n-ary execution receipt,CE-NF1-L-H,CE-NF1-H06,planning/glasshelix-execution-foundation-v1/proposed-todos/ce-nf1-h07.md
